image_name,label
00001.png,7
00002.png,7
00003.png,2
00004.png,1
00005.png,4
00006.png,2
00007.png,2
00008.png,6
00009.png,3
00010.png,8
00011.png,1
00012.png,2
00013.png,1
00014.png,6
00015.png,1
00016.png,4
00017.png,9
00018.png,2
00019.png,5
00020.png,5
00021.png,0
00022.png,4
00023.png,5
00024.png,1
00025.png,7
00026.png,7
00027.png,8
00028.png,9
00029.png,5
00030.png,6
00031.png,7
00032.png,2
00033.png,6
00034.png,0
00035.png,3
00036.png,2
00037.png,4
00038.png,4
00039.png,3
00040.png,8
00041.png,6
00042.png,2
00043.png,1
00044.png,1
00045.png,1
00046.png,3
00047.png,7
00048.png,2
00049.png,9
00050.png,7
00051.png,7
00052.png,2
00053.png,1
00054.png,4
00055.png,2
00056.png,4
00057.png,6
00058.png,7
00059.png,2
00060.png,3
00061.png,6
00062.png,9
00063.png,9
00064.png,6
00065.png,2
00066.png,2
00067.png,1
00068.png,5
00069.png,3
00070.png,2
00071.png,1
00072.png,3
00073.png,2
00074.png,2
00075.png,1
00076.png,6
00077.png,8
00078.png,6
00079.png,0
00080.png,1
00081.png,8
00082.png,3
00083.png,8
00084.png,2
00085.png,0
00086.png,7
00087.png,1
00088.png,0
00089.png,3
00090.png,9
00091.png,0
00092.png,7
00093.png,8
00094.png,3
00095.png,9
00096.png,7
00097.png,8
00098.png,5
00099.png,0
00100.png,3
00101.png,2
00102.png,4
00103.png,8
00104.png,4
00105.png,1
00106.png,6
00107.png,5
00108.png,7
00109.png,9
00110.png,6
00111.png,4
00112.png,1
00113.png,8
00114.png,6
00115.png,6
00116.png,0
00117.png,2
00118.png,6
00119.png,8
00120.png,8
00121.png,3
00122.png,8
00123.png,1
00124.png,7
00125.png,7
00126.png,3
00127.png,3
00128.png,0
00129.png,5
00130.png,9
00131.png,1
00132.png,9
00133.png,1
00134.png,0
00135.png,4
00136.png,7
00137.png,9
00138.png,9
00139.png,0
00140.png,4
00141.png,1
00142.png,4
00143.png,3
00144.png,8
00145.png,2
00146.png,4
00147.png,4
00148.png,8
00149.png,2
00150.png,1
00151.png,7
00152.png,7
00153.png,6
00154.png,5
00155.png,0
00156.png,7
00157.png,1
00158.png,9
00159.png,5
00160.png,8
00161.png,7
00162.png,1
00163.png,9
00164.png,3
00165.png,1
00166.png,3
00167.png,1
00168.png,0
00169.png,0
00170.png,3
00171.png,9
00172.png,4
00173.png,9
00174.png,7
00175.png,0
00176.png,3
00177.png,2
00178.png,8
00179.png,8
00180.png,7
00181.png,6
00182.png,0
00183.png,9
00184.png,3
00185.png,3
00186.png,8
00187.png,2
00188.png,4
00189.png,6
00190.png,6
00191.png,0
00192.png,4
00193.png,9
00194.png,4
00195.png,2
00196.png,8
00197.png,5
00198.png,8
00199.png,4
00200.png,2
00201.png,9
00202.png,6
00203.png,1
00204.png,4
00205.png,7
00206.png,7
00207.png,5
00208.png,9
00209.png,7
00210.png,0
00211.png,6
00212.png,2
00213.png,9
00214.png,8
00215.png,1
00216.png,1
00217.png,0
00218.png,9
00219.png,9
00220.png,3
00221.png,1
00222.png,4
00223.png,1
00224.png,2
00225.png,1
00226.png,1
00227.png,9
00228.png,8
00229.png,6
00230.png,5
00231.png,9
00232.png,2
00233.png,3
00234.png,7
00235.png,1
00236.png,2
00237.png,7
00238.png,1
00239.png,1
00240.png,7
00241.png,9
00242.png,5
00243.png,1
00244.png,1
00245.png,1
00246.png,2
00247.png,4
00248.png,4
00249.png,6
00250.png,2
00251.png,5
00252.png,9
00253.png,4
00254.png,5
00255.png,2
00256.png,3
00257.png,5
00258.png,1
00259.png,1
00260.png,3
00261.png,8
00262.png,8
00263.png,7
00264.png,8
00265.png,1
00266.png,5
00267.png,5
00268.png,1
00269.png,4
00270.png,1
00271.png,1
00272.png,4
00273.png,2
00274.png,8
00275.png,8
00276.png,6
00277.png,6
00278.png,4
00279.png,7
00280.png,8
00281.png,1
00282.png,9
00283.png,6
00284.png,9
00285.png,2
00286.png,0
00287.png,6
00288.png,5
00289.png,8
00290.png,2
00291.png,9
00292.png,8
00293.png,3
00294.png,7
00295.png,7
00296.png,3
00297.png,3
00298.png,6
00299.png,2
00300.png,7
00301.png,4
00302.png,6
00303.png,9
00304.png,8
00305.png,4
00306.png,8
00307.png,9
00308.png,9
00309.png,9
00310.png,4
00311.png,1
00312.png,0
00313.png,4
00314.png,0
00315.png,9
00316.png,3
00317.png,1
00318.png,0
00319.png,4
00320.png,1
00321.png,9
00322.png,4
00323.png,6
00324.png,4
00325.png,8
00326.png,0
00327.png,9
00328.png,9
00329.png,7
00330.png,9
00331.png,4
00332.png,2
00333.png,6
00334.png,2
00335.png,0
00336.png,9
00337.png,3
00338.png,7
00339.png,6
00340.png,3
00341.png,4
00342.png,3
00343.png,2
00344.png,2
00345.png,7
00346.png,4
00347.png,7
00348.png,7
00349.png,0
00350.png,6
00351.png,8
00352.png,8
00353.png,0
00354.png,6
00355.png,9
00356.png,1
00357.png,1
00358.png,3
00359.png,7
00360.png,8
00361.png,4
00362.png,6
00363.png,7
00364.png,5
00365.png,4
00366.png,7
00367.png,7
00368.png,4
00369.png,0
00370.png,6
00371.png,5
00372.png,5
00373.png,5
00374.png,0
00375.png,1
00376.png,6
00377.png,1
00378.png,3
00379.png,6
00380.png,1
00381.png,4
00382.png,7
00383.png,8
00384.png,2
00385.png,7
00386.png,6
00387.png,9
00388.png,7
00389.png,0
00390.png,5
00391.png,5
00392.png,8
00393.png,3
00394.png,1
